
# Most time was spent solving cryptharithm by converting strings to number according to mapping

3547035 function calls (3546933 primitive calls) in 4.694 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
      144    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1347(_path_importer_cache)
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1390(_get_spec)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1422(find_spec)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       30    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:646(_validate_hash_pyc)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
      6/2    0.000    0.000    0.006    0.003 <frozen importlib._bootstrap_external>:877(exec_module)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:328(namedtuple)
        4    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
       12    0.000    0.000    0.000    0.000 _collections_abc.py:813(get)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        4    0.000    0.000    0.000    0.000 abc.py:105(__new__)
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1030(_AppendConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1057(_CountAction)
        1    0.000    0.000    0.000    0.000 argparse.py:107(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:1080(_HelpAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1082(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1099(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1125(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1127(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1218(_ExtendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1229(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:1284(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:1291(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1304(_ActionsContainer)
        3    0.000    0.000    0.001    0.000 argparse.py:1306(__init__)
       37    0.000    0.000    0.000    0.000 argparse.py:1359(register)
       11    0.000    0.000    0.000    0.000 argparse.py:1363(_registry_get)
        4    0.000    0.000    0.006    0.002 argparse.py:1388(add_argument)
        2    0.000    0.000    0.000    0.000 argparse.py:1439(add_argument_group)
        4    0.000    0.000    0.000    0.000 argparse.py:1449(_add_action)
        3    0.000    0.000    0.000    0.000 argparse.py:1513(_get_positional_kwargs)
        1    0.000    0.000    0.000    0.000 argparse.py:1529(_get_optional_kwargs)
        1    0.000    0.000    0.000    0.000 argparse.py:154(HelpFormatter)
        4    0.000    0.000    0.000    0.000 argparse.py:1563(_pop_action_class)
        3    0.000    0.000    0.000    0.000 argparse.py:1567(_get_handler)
        4    0.000    0.000    0.000    0.000 argparse.py:1576(_check_conflict)
        4    0.000    0.000    0.006    0.002 argparse.py:161(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1614(_ArgumentGroup)
        2    0.000    0.000    0.000    0.000 argparse.py:1616(__init__)
        4    0.000    0.000    0.000    0.000 argparse.py:1638(_add_action)
        1    0.000    0.000    0.000    0.000 argparse.py:1648(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1668(ArgumentParser)
        1    0.000    0.000    0.008    0.008 argparse.py:1689(__init__)
        4    0.000    0.000    0.000    0.000 argparse.py:1800(_add_action)
        1    0.000    0.000    0.000    0.000 argparse.py:1812(_get_positional_actions)
        1    0.000    0.000    0.000    0.000 argparse.py:1813(<listcomp>)
        1    0.000    0.000    0.001    0.001 argparse.py:1820(parse_args)
        1    0.000    0.000    0.001    0.001 argparse.py:1827(parse_known_args)
        1    0.000    0.000    0.001    0.001 argparse.py:1866(_parse_known_args)
        3    0.000    0.000    0.000    0.000 argparse.py:1913(take_action)
        1    0.000    0.000    0.000    0.000 argparse.py:201(_Section)
        1    0.000    0.000    0.001    0.001 argparse.py:2011(consume_positionals)
        4    0.000    0.000    0.000    0.000 argparse.py:203(__init__)
        1    0.000    0.000    0.001    0.001 argparse.py:2163(_match_arguments_partial)
        1    0.000    0.000    0.000    0.000 argparse.py:2169(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:2173(<listcomp>)
        3    0.000    0.000    0.000    0.000 argparse.py:2179(_parse_optional)
        3    0.000    0.000    0.000    0.000 argparse.py:2282(_get_nargs_pattern)
        3    0.000    0.000    0.000    0.000 argparse.py:2415(_get_values)
        3    0.000    0.000    0.000    0.000 argparse.py:2471(_get_value)
        3    0.000    0.000    0.000    0.000 argparse.py:2497(_check_value)
        4    0.000    0.000    0.006    0.002 argparse.py:2537(_get_formatter)
        4    0.000    0.000    0.000    0.000 argparse.py:572(_metavar_formatter)
        4    0.000    0.000    0.000    0.000 argparse.py:581(format)
        4    0.000    0.000    0.000    0.000 argparse.py:588(_format_args)
        1    0.000    0.000    0.000    0.000 argparse.py:610(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:663(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:674(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:685(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:702(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:737(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:757(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 argparse.py:766(Action)
        4    0.000    0.000    0.000    0.000 argparse.py:817(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:859(BooleanOptionalAction)
        1    0.000    0.000    0.000    0.000 argparse.py:900(_StoreAction)
        3    0.000    0.000    0.000    0.000 argparse.py:902(__init__)
        3    0.000    0.000    0.000    0.000 argparse.py:931(__call__)
        1    0.000    0.000    0.000    0.000 argparse.py:935(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:958(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:975(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 argparse.py:992(_AppendAction)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        1    0.000    0.000    4.683    4.683 cryptarithm.py:1(<module>)
        1    0.000    0.000    0.008    0.008 cryptarithm.py:10(create_arguments_parser)
        1    0.000    0.000    0.000    0.000 cryptarithm.py:28(check_input)
  1180914    2.076    0.000    3.681    0.000 cryptarithm.py:43(to_num)
  1180914    1.071    0.000    1.071    0.000 cryptarithm.py:45(<listcomp>)
        1    0.990    0.990    4.672    4.672 cryptarithm.py:48(solve_cryptarithm)
        1    0.000    0.000    0.000    0.000 cryptarithm.py:69(<listcomp>)
        1    0.000    0.000    0.000    0.000 cryptarithm.py:82(<listcomp>)
       13    0.000    0.000    0.000    0.000 cryptarithm.py:84(<lambda>)
        8    0.000    0.000    0.000    0.000 enum.py:359(__call__)
        8    0.000    0.000    0.000    0.000 enum.py:678(__new__)
        4    0.000    0.000    0.000    0.000 enum.py:801(value)
        4    0.000    0.000    0.000    0.000 enum.py:986(__and__)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       12    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
